AnimalID,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
A719776,Daphne,1/31/16 14:38,Transfer,Partner,Dog,Spayed Female,6 years,Beagle Mix,Tricolor
A699491,Oso,4/8/15 14:38,Adoption,NA,Dog,Neutered Male,2 years,Soft Coated Wheaten Terrier Mix,White
A694897,NA,1/8/15 12:38,Return_to_owner,NA,Dog,Intact Female,2 weeks,Pit Bull Mix,Black/White
A710282,Biscuit,8/24/15 18:34,Adoption,NA,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby
A687139,Eliza,10/13/14 17:05,Adoption,NA,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico
A681531,NA,6/18/14 12:50,Transfer,Partner,Cat,Intact Male,3 days,Domestic Longhair Mix,Black
A708077,NA,7/23/15 9:00,Transfer,SCRP,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby
A680743,Ferris,9/1/14 18:42,Adoption,NA,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Brown Tabby
A719545,Aaron Elvis,1/25/16 15:33,Adoption,NA,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Black
A707764,Cricket,7/19/15 14:40,Adoption,NA,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Cream Tabby
A677235,Eddie,5/7/14 9:31,Adoption,Foster,Dog,Neutered Male,5 years,Dachshund Mix,Black/Tan
A710385,Remy,9/6/15 14:55,Adoption,NA,Dog,Neutered Male,5 years,Australian Cattle Dog Mix,Red Merle
A719481,Bobby,1/23/16 16:01,Transfer,Partner,Dog,Intact Male,1 month,Labrador Retriever Mix,Yellow
A680906,Barney,6/17/14 13:26,Transfer,Partner,Dog,Neutered Male,1 year,Yorkshire Terrier Mix,Black/Tan
A702440,Cornflake,6/23/15 8:16,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue/White
A685950,Jojo,10/11/14 18:44,Adoption,NA,Dog,Neutered Male,9 months,Labrador Retriever Mix,Tan
A668259,Possum,12/5/13 17:17,Transfer,Partner,Dog,Spayed Female,5 months,Bearded Collie Mix,Black/White
A666362,Peebee,1/10/16 11:40,Return_to_owner,NA,Dog,Neutered Male,5 years,Toy Fox Terrier Mix,Brown/White
A697621,Todd,3/18/15 14:46,Adoption,NA,Dog,Neutered Male,1 year,Australian Kelpie Mix,Red/White
A671350,Isis,2/3/14 15:40,Adoption,NA,Dog,Spayed Female,2 years,Pit Bull Mix,Tan/White
A682244,Lacey,6/26/14 11:22,Return_to_owner,NA,Dog,Spayed Female,16 years,Maltese Mix,White
A704326,Oj,8/11/15 16:55,Return_to_owner,NA,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby
A675680,Draco,4/9/14 13:16,Return_to_owner,NA,Dog,Neutered Male,3 years,German Shepherd/Rottweiler,Black/Brown
A675669,NA,4/6/14 12:37,Adoption,NA,Dog,Spayed Female,1 year,Queensland Heeler Mix,Blue Merle/Tan
A690691,NA,10/24/14 12:37,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Black/White
A678242,Coqueta,5/6/14 15:14,Return_to_owner,NA,Dog,Intact Female,3 years,Chihuahua Shorthair Mix,Tan
A685779,NA,8/12/14 15:13,Euthanasia,Suffering,Cat,Unknown,3 months,Siamese/Domestic Shorthair,Seal Point
A665201,NA,10/16/13 16:52,Transfer,SCRP,Cat,Intact Male,6 months,Domestic Shorthair Mix,Orange Tabby/White
A669416,Espana,12/27/13 15:31,Euthanasia,Aggressive,Dog,Spayed Female,1 year,Canaan Dog/Pit Bull,Tan/White
A677465,NA,4/25/14 15:18,Transfer,Partner,Cat,Unknown,0 years,Domestic Shorthair Mix,Brown Tabby
A696524,Bertrand,12/14/15 18:10,Adoption,Foster,Dog,Neutered Male,1 year,Beauceron Mix,Black/Brown
A695626,Nelly,2/7/15 16:21,Adoption,NA,Dog,Spayed Female,8 years,Labrador Retriever Mix,Black
A702649,Echo,7/11/15 15:10,Adoption,NA,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue
A642317,Max,8/27/15 14:59,Return_to_owner,NA,Dog,Neutered Male,10 years,Chihuahua Shorthair Mix,Tricolor
A704947,Pete,8/10/15 13:10,Adoption,NA,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Black/White
A700574,Jersey,2/16/16 13:06,Adoption,NA,Dog,Neutered Male,1 year,Australian Cattle Dog Mix,Red Merle/White
A691075,Sasha,11/2/14 18:46,Adoption,NA,Dog,Spayed Female,2 years,Miniature Poodle Mix,Gray
A694731,Miley,1/9/15 11:29,Transfer,Partner,Dog,Spayed Female,6 years,Miniature Schnauzer Mix,Gray
A701659,NA,5/2/15 18:33,Euthanasia,Suffering,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black
A712635,Jewel,10/13/15 14:33,Transfer,Partner,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Orange Tabby
A710549,Scarface,8/27/15 18:18,Return_to_owner,NA,Dog,Neutered Male,7 years,Boston Terrier Mix,Brown Brindle/White
A705413,NA,6/21/15 11:20,Euthanasia,Suffering,Cat,Intact Male,3 years,Domestic Shorthair Mix,Black
A683837,Diamond,7/19/14 19:15,Return_to_owner,NA,Dog,Spayed Female,4 months,Pit Bull Mix,Blue/White
A714276,Trina,10/30/15 12:34,Return_to_owner,NA,Dog,Intact Female,2 years,Pit Bull Mix,Brown/White
A683463,NA,7/21/14 18:10,Transfer,Partner,Dog,Intact Male,3 weeks,Labrador Retriever Mix,White
A707427,Hector,7/26/15 14:47,Transfer,Partner,Dog,Intact Male,3 years,Blue Lacy Mix,Blue/White
A703434,Leona,5/25/15 9:00,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black/White
A674442,Bobi,3/27/14 15:46,Return_to_owner,NA,Dog,Neutered Male,4 years,Border Collie/Akita,Black/White
A714654,NA,10/31/15 12:09,Transfer,Partner,Dog,Spayed Female,8 years,Pug/Chihuahua Shorthair,Black
A621652,Fred,4/20/15 14:08,Transfer,Partner,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Brown Tabby/White
A701178,Gotti,4/26/15 12:07,Return_to_owner,NA,Dog,Intact Male,2 years,Pit Bull Mix,Black/White
A682952,Teddy Roosev,7/5/14 15:27,Return_to_owner,NA,Dog,Neutered Male,4 years,Chihuahua Shorthair/Dachshund,Black/Tan
A682217,Bosley,8/16/14 12:15,Adoption,NA,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White
A689758,Junebug,11/4/14 12:39,Transfer,Partner,Dog,Spayed Female,6 months,Pit Bull Mix,Fawn/White
A673106,Ronnie,3/6/14 17:17,Adoption,NA,Dog,Neutered Male,1 year,Yorkshire Terrier Mix,Tan/Black
A711118,Dawson,9/7/15 18:18,Adoption,NA,Dog,Neutered Male,2 months,Black Mouth Cur/Catahoula,Fawn/Black
A708341,NA,8/1/15 9:39,Euthanasia,Suffering,Cat,Unknown,4 months,Domestic Shorthair Mix,White/Black
A686546,Stacey,8/23/14 18:35,Return_to_owner,NA,Dog,Spayed Female,2 years,Boston Terrier Mix,Brown Brindle/White
A705181,NA,6/14/15 14:32,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Black
A685825,Ace Regalado,9/5/14 18:45,Adoption,NA,Dog,Neutered Male,5 months,Labrador Retriever Mix,Black/White
A663827,NA,10/1/13 17:02,Adoption,NA,Dog,Neutered Male,8 months,Labrador Retriever Mix,Brown
A664716,Harvey,10/30/13 15:27,Euthanasia,Medical,Dog,Neutered Male,3 years,Rottweiler Mix,Black/Brown
A697337,Gizmo,3/3/15 11:29,Return_to_owner,NA,Dog,Intact Male,1 year,Jack Russell Terrier Mix,White/Brown
A706722,Hank,7/20/15 18:48,Adoption,NA,Cat,Intact Male,2 months,Domestic Longhair Mix,Brown Tabby/White
A675118,NA,3/30/14 14:48,Transfer,Partner,Dog,Spayed Female,3 years,Boxer,Red/Black
A664558,Happy,11/11/13 12:02,Transfer,Partner,Dog,Neutered Male,2 years,Border Terrier Mix,White/Brown
A707169,NA,7/10/15 9:00,Transfer,SCRP,Cat,Intact Male,3 years,Domestic Shorthair Mix,Brown Tabby/White
A695883,NA,2/5/15 18:31,Euthanasia,Aggressive,Dog,Neutered Male,5 years,German Shepherd Mix,Brown/Black
A708520,Estelle,8/3/15 13:23,Adoption,NA,Dog,Spayed Female,6 years,Chihuahua Shorthair,Tan
A706755,NA,7/3/15 11:04,Transfer,Partner,Cat,Intact Male,2 days,Domestic Shorthair,Gray Tabby
A666272,NA,10/29/13 18:56,Euthanasia,Suffering,Dog,Intact Female,1 month,Chihuahua Longhair Mix,Brown
A684922,Ellie,8/7/14 13:36,Adoption,NA,Dog,Spayed Female,10 months,Irish Terrier/Labrador Retriever,Brown/White
A664844,Watson,10/20/13 18:09,Adoption,NA,Dog,Neutered Male,4 months,Pit Bull Mix,White/Tan
A692984,Hannah,12/2/14 17:01,Return_to_owner,NA,Dog,Spayed Female,9 years,German Shepherd Mix,Red/White
A702253,NA,5/23/15 17:15,Adoption,NA,Dog,Neutered Male,2 years,Queensland Heeler Mix,Brown
A696381,Tiger,6/27/15 15:27,Euthanasia,Aggressive,Dog,Neutered Male,5 years,Pit Bull Mix,Tan/Brown Brindle
A719185,Betty,2/15/16 14:39,Adoption,NA,Dog,Spayed Female,1 year,Pointer Mix,White/Black
A715514,NA,12/12/15 15:04,Adoption,Foster,Cat,Neutered Male,1 month,Domestic Shorthair Mix,Orange Tabby/White
A666373,Nitro,11/29/13 12:27,Transfer,Partner,Dog,Neutered Male,2 years,Miniature Pinscher,Blue/Tan
A663438,Bonny,6/14/14 16:40,Adoption,NA,Dog,Spayed Female,7 years,Labrador Retriever Mix,Sable
A683785,Rick,8/9/14 12:32,Adoption,NA,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
A699786,NA,4/2/15 17:25,Transfer,Partner,Dog,Intact Male,2 years,Shih Tzu,White/Brown Brindle
A673658,NA,3/3/14 16:53,Adoption,NA,Dog,Spayed Female,4 months,Australian Shepherd Mix,Black/White
A688146,John Boy,12/9/14 18:50,Adoption,NA,Dog,Neutered Male,2 years,Catahoula/Chinese Sharpei,White/Brown
A698701,NA,3/20/15 13:59,Adoption,NA,Dog,Spayed Female,1 year,Whippet/Jack Russell Terrier,White/Brown
A695689,Jameson,1/21/15 18:14,Return_to_owner,NA,Dog,Neutered Male,9 months,Labrador Retriever/Australian Kelpie,Tan
A671135,NA,1/21/14 15:17,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Torbie
A672142,Toby,2/8/14 10:14,Transfer,Partner,Dog,Intact Male,5 years,Pekingese,Red/White
A685729,NA,8/12/14 10:33,Euthanasia,Suffering,Cat,Neutered Male,15 years,Domestic Medium Hair Mix,Blue
A702757,Mellow,6/9/15 17:48,Return_to_owner,NA,Dog,Spayed Female,2 years,Catahoula Mix,Blue Merle/White
A677546,NA,4/26/14 15:31,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Medium Hair Mix,Torbie
A610401,Lady,6/22/15 19:23,Return_to_owner,NA,Dog,Spayed Female,8 years,Jack Russell Terrier,White/Brown
A707343,Martin,7/18/15 16:40,Adoption,NA,Cat,Neutered Male,2 months,Domestic Longhair Mix,Black Smoke
A648872,Beckham,5/5/14 17:36,Adoption,NA,Dog,Neutered Male,2 years,Bullmastiff Mix,Black/White
A708349,NA,7/26/15 14:40,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Tortie
A686717,Shadow,9/7/14 17:40,Adoption,NA,Dog,Neutered Male,4 months,Labrador Retriever Mix,Black
A706549,NA,7/18/15 20:39,Adoption,Foster,Cat,Spayed Female,1 month,Domestic Shorthair Mix,Tortie
A685484,NA,8/17/14 12:29,Adoption,NA,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby
A661638,Apollo,9/18/14 13:51,Return_to_owner,NA,Dog,Neutered Male,6 years,German Shepherd/Cardigan Welsh Corgi,Sable
A700991,Xbox,7/24/15 18:39,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby
A692742,NA,11/25/14 9:00,Transfer,SCRP,Cat,Intact Male,8 months,Domestic Shorthair Mix,Black
A670064,NA,1/3/14 16:33,Died,In Kennel,Dog,Intact Female,3 months,Pit Bull/Pit Bull,Red
A672576,NA,2/16/14 17:18,Adoption,NA,Dog,Neutered Male,2 years,German Shepherd,Brown/Red
A678987,NA,5/15/14 11:24,Transfer,Partner,Cat,Intact Female,4 days,Domestic Medium Hair Mix,Tortie
A689640,NA,10/8/14 14:37,Transfer,Partner,Cat,Intact Female,2 months,Domestic Shorthair Mix,Brown Tabby
A696064,Petey,2/4/15 16:23,Return_to_owner,NA,Dog,Neutered Male,10 years,Jack Russell Terrier Mix,White/Brown
A685651,NA,8/11/14 9:00,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby
A678521,Leo,7/12/14 19:57,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby/White
A704857,NA,6/12/15 16:58,Transfer,Partner,Dog,Intact Female,1 month,Labrador Retriever Mix,Black
A692967,Hannah,12/27/14 18:40,Adoption,Foster,Cat,Spayed Female,1 month,Domestic Shorthair Mix,Tortie
A700376,Luna,5/9/15 19:05,Adoption,NA,Dog,Spayed Female,1 year,German Shepherd Mix,Black
A700399,Chico,4/13/15 12:12,Return_to_owner,NA,Dog,Neutered Male,5 years,Dachshund Mix,Red
A677299,NA,4/28/14 15:08,Transfer,Partner,Dog,Neutered Male,2 years,Dachshund Mix,Blue Merle
A709580,Champ,8/11/15 16:26,Return_to_owner,NA,Dog,Neutered Male,17 years,Boston Terrier,Black/White
A694650,Betsy,1/3/15 18:21,Return_to_owner,NA,Dog,Spayed Female,8 months,Boxer/American Staffordshire Terrier,Brown Brindle/White
A673232,King,12/29/14 7:12,Adoption,NA,Dog,Neutered Male,1 year,German Shepherd Mix,Black/Tan
A678526,Joanie,5/11/14 17:34,Return_to_owner,NA,Dog,Spayed Female,4 years,Pug,Black
A715177,Gilbert,12/12/15 17:44,Adoption,NA,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black/White
A704698,NA,6/12/15 17:27,Adoption,NA,Dog,Neutered Male,2 months,German Shepherd Mix,Black/Tan
A720002,Mya,2/4/16 17:05,Return_to_owner,NA,Dog,Intact Female,7 years,Pit Bull Mix,Black/White
A685074,NA,8/2/14 9:00,Transfer,SCRP,Cat,Intact Female,11 months,Domestic Shorthair Mix,Calico
A681542,NA,8/28/14 17:29,Adoption,Foster,Cat,Spayed Female,2 months,Siamese Mix,Lynx Point
A647210,Tank,7/20/14 12:06,Euthanasia,Medical,Dog,Neutered Male,3 years,Pit Bull Mix,Brown Brindle/White
A661036,Dove,10/5/13 17:10,Adoption,NA,Cat,Spayed Female,3 months,Domestic Medium Hair Mix,Brown Tabby
A668597,NA,12/6/13 11:30,Transfer,Partner,Dog,Intact Male,1 month,Rottweiler Mix,Black/White
A716033,Leonardo,11/21/15 19:44,Adoption,NA,Cat,Neutered Male,2 months,Javanese Mix,Flame Point
A716761,Rudolf,12/6/15 14:55,Transfer,Partner,Dog,Intact Male,6 months,Border Collie Mix,Black/White
A718520,Martinet,1/19/16 11:58,Adoption,NA,Dog,Neutered Male,3 years,Lhasa Apso/Miniature Poodle,Black
A685505,NA,8/8/14 17:43,Transfer,Partner,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico
A687897,Wesley,9/18/14 14:49,Transfer,Partner,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Black
A690415,Bernard,12/26/14 13:37,Adoption,Foster,Cat,Neutered Male,3 months,Snowshoe Mix,Seal Point
A676076,Johnny Cash,5/28/14 13:56,Adoption,NA,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Black/White
A697479,NA,2/24/15 14:56,Euthanasia,Suffering,Cat,Intact Male,1 year,Domestic Shorthair Mix,Black
A711827,Baron,12/22/15 0:00,Transfer,Partner,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby
A715213,NA,11/4/15 18:00,Adoption,NA,Dog,Neutered Male,2 months,Cocker Spaniel/Labrador Retriever,Brown/White
A690038,Nicole,12/3/14 16:08,Transfer,Partner,Dog,Spayed Female,2 years,Cocker Spaniel Mix,Red
A673328,Harper,2/26/14 17:02,Adoption,NA,Dog,Spayed Female,2 months,Carolina Dog Mix,Tan
A712452,Lucy Lou,11/14/15 18:16,Adoption,Foster,Dog,Spayed Female,5 years,Chihuahua Shorthair/Dachshund,Red/White
A708235,NA,9/1/15 17:47,Adoption,NA,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue Tabby
A713046,Bindy,10/13/15 12:56,Transfer,Partner,Cat,Spayed Female,5 months,Domestic Medium Hair Mix,Black/White
A498100,Rusty,9/1/15 13:25,Return_to_owner,NA,Dog,Neutered Male,7 years,Parson Russell Terrier,White/Brown
A718258,Milo,1/23/16 16:09,Adoption,NA,Cat,Neutered Male,8 years,Domestic Shorthair Mix,Orange Tabby
A693072,NA,12/2/14 9:00,Transfer,SCRP,Cat,Intact Female,4 months,Domestic Shorthair Mix,Black
A669782,Jake,3/24/15 16:44,Adoption,NA,Dog,Neutered Male,2 years,Labrador Retriever/Great Pyrenees,Yellow
A686293,Cali,8/29/14 17:44,Euthanasia,Aggressive,Dog,Spayed Female,3 years,Pit Bull Mix,Black/White
A690865,NA,10/31/14 17:13,Adoption,NA,Dog,Spayed Female,3 months,Pit Bull Mix,Blue/White
A704798,Ava,6/20/15 12:29,Transfer,Partner,Cat,Intact Female,10 months,Ragdoll Mix,Lynx Point
A706630,Patches,8/1/15 18:36,Adoption,NA,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Brown Tabby
A673414,Rico,2/23/14 18:33,Return_to_owner,NA,Dog,Neutered Male,5 years,Australian Shepherd Mix,Tricolor
A687435,Henry,10/18/14 16:28,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
A681390,NA,6/19/14 19:17,Adoption,NA,Dog,Intact Male,5 months,Wire Hair Fox Terrier Mix,White/Tan
A679948,Lulu,7/13/14 19:19,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie
A720172,Sammi,2/15/16 17:43,Adoption,NA,Dog,Spayed Female,9 months,Treeing Tennesse Brindle,Brown Brindle/White
A693251,Shelby,12/19/14 17:07,Transfer,Partner,Dog,Neutered Male,5 years,Rat Terrier Mix,White/Black
A674675,NA,3/16/14 18:16,Transfer,Partner,Cat,Intact Female,1 weeks,Domestic Shorthair Mix,Brown Tabby
A702280,Ace,5/15/15 17:44,Adoption,NA,Dog,Neutered Male,2 months,Labrador Retriever Mix,Black/White
A687047,Bambi,8/31/14 15:34,Return_to_owner,NA,Dog,Intact Female,10 years,Australian Cattle Dog Mix,Brown
A665590,Marvin,9/10/15 17:24,Adoption,NA,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby
A710383,Gemma,9/13/15 15:27,Adoption,NA,Dog,Spayed Female,2 years,Rat Terrier Mix,White/Tan
A703179,NA,5/21/15 14:57,Euthanasia,Suffering,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black/White
A712629,Tesla,10/7/15 13:37,Transfer,Partner,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Orange Tabby/White
A692367,NA,11/25/14 13:38,Transfer,Partner,Dog,Spayed Female,5 years,Dachshund,Red
A710780,Hendrix,8/28/15 16:51,Return_to_owner,NA,Dog,Neutered Male,2 years,Catahoula Mix,Blue Merle/Brown
A708518,Merce,9/18/15 13:43,Adoption,NA,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Orange Tabby
A686122,NA,8/16/14 18:28,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Brown Tabby
A667163,Porky,11/15/13 17:40,Return_to_owner,NA,Dog,Spayed Female,2 years,English Bulldog,White/Brown Brindle
A695273,Colt,1/13/15 15:04,Return_to_owner,NA,Cat,Neutered Male,4 years,Siamese Mix,Flame Point
A711074,Ms Roper,9/3/15 14:24,Transfer,Partner,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico
A671096,Ellie,1/20/14 15:14,Transfer,Partner,Dog,Spayed Female,6 years,Boxer Mix,Brown Brindle/White
A687345,Buster,9/7/14 18:15,Adoption,NA,Dog,Neutered Male,4 months,Whippet Mix,White/Tan
A663966,NA,1/30/14 12:03,Adoption,Foster,Dog,Spayed Female,4 months,American Bulldog Mix,Brown/White
A716676,NA,11/29/15 18:44,Adoption,NA,Dog,Spayed Female,2 years,Rat Terrier Mix,Tricolor
A673460,NA,4/4/14 9:01,Adoption,Foster,Dog,Spayed Female,2 months,Chihuahua Shorthair Mix,Chocolate/Tan
A666911,Bear,11/10/13 16:54,Adoption,NA,Dog,Neutered Male,2 months,Golden Retriever Mix,Gold
A715789,Socks,2/13/16 11:05,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black/White
A679787,Molly,7/1/14 12:15,Adoption,NA,Cat,Spayed Female,2 months,Domestic Longhair Mix,Torbie
A608858,Spike,4/7/15 15:30,Return_to_owner,NA,Dog,Intact Male,4 years,Pit Bull Mix,White/Chocolate
A695804,Francis,2/26/15 11:12,Transfer,Partner,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Tricolor
A706957,NA,7/7/15 10:07,Euthanasia,Suffering,Dog,Intact Female,9 years,Shetland Sheepdog Mix,Brown
A665737,Milo,10/31/13 17:48,Adoption,NA,Dog,Neutered Male,1 year,Dachshund Wirehair/Miniature Schnauzer,Black/Silver
A680793,Cocco,6/17/14 16:33,Adoption,NA,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Brown
A672170,Fantine,2/11/14 13:31,Transfer,Partner,Cat,Spayed Female,7 years,Domestic Shorthair Mix,Calico/Brown Tabby
A700089,Red,4/8/15 18:21,Return_to_owner,NA,Dog,Neutered Male,1 year,Australian Cattle Dog Mix,Red Tick
A698556,Buddy,5/9/15 12:29,Adoption,NA,Dog,Neutered Male,1 month,Labrador Retriever/Boxer,Black/White
A705776,Kambei,6/23/15 19:13,Transfer,Partner,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby/White
A713334,Bug,10/12/15 12:19,Transfer,Partner,Dog,Intact Female,1 month,Chihuahua Shorthair Mix,Tan
A719023,Elvis,1/12/16 18:04,Return_to_owner,NA,Dog,Neutered Male,2 years,Cardigan Welsh Corgi Mix,Red/White
A690084,Dodger,10/20/14 13:06,Transfer,Partner,Dog,Intact Male,1 year,Border Collie/Labrador Retriever,Black/White
A689602,Copper,11/23/14 18:36,Adoption,Foster,Dog,Neutered Male,1 month,Miniature Pinscher/Chihuahua Shorthair,Tan/Brown
A715754,NA,11/18/15 12:27,Adoption,Foster,Dog,Neutered Male,1 month,Dachshund Mix,Black/Tan
A686302,Peanut,8/22/14 18:12,Return_to_owner,NA,Dog,Neutered Male,3 years,Dachshund Longhair,Black/Tan
A671081,Toodles,6/28/14 13:29,Adoption,Foster,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Black/White
A701366,Nunki,5/2/15 18:40,Adoption,NA,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
A672598,Lola,2/21/14 18:47,Adoption,NA,Dog,Spayed Female,6 months,Vizsla/Golden Retriever,Red/Black
A673779,Ron,3/13/14 13:15,Adoption,NA,Dog,Neutered Male,1 year,Anatol Shepherd Mix,Tan/Black
A677957,Coco,5/3/14 12:20,Return_to_owner,NA,Dog,Spayed Female,4 years,Labrador Retriever Mix,Chocolate
A709908,Tiger,8/18/15 11:37,Transfer,Partner,Dog,Intact Male,3 years,Pug,Fawn
A683358,NA,7/11/14 9:00,Transfer,SCRP,Cat,Intact Male,4 months,Domestic Shorthair Mix,Blue
A678805,NA,5/16/14 16:02,Transfer,Partner,Dog,Neutered Male,12 years,Pomeranian,Red/Tan
A685176,Forrest,8/27/14 17:38,Euthanasia,Suffering,Dog,Intact Male,3 months,Redbone Hound Mix,Tan/White
A688625,Phoebe,11/3/14 16:23,Adoption,NA,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico
A711746,Sissy,10/22/15 14:33,Transfer,Partner,Cat,Spayed Female,8 years,Domestic Shorthair Mix,Black/White
A700718,NA,4/19/15 9:00,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Medium Hair Mix,Brown Tabby
A647854,Kona,12/23/13 12:00,Adoption,NA,Dog,Neutered Male,11 months,Chihuahua Shorthair Mix,Tan
A715828,Zeus,11/27/15 16:31,Adoption,NA,Dog,Intact Male,5 years,Labrador Retriever Mix,Gold
A708904,Dawson,1/22/16 14:53,Transfer,Partner,Cat,Neutered Male,6 months,Domestic Shorthair Mix,Cream Tabby
A707302,NA,7/12/15 9:00,Transfer,SCRP,Cat,Intact Male,2 years,Domestic Medium Hair Mix,Blue Tabby
A683587,Nubbins,7/12/14 15:11,Euthanasia,Suffering,Cat,Neutered Male,8 years,Japanese Bobtail Mix,White/Blue
A714334,Flavia,11/2/15 17:35,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black
A675887,Lilly,4/6/14 13:20,Adoption,NA,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Blue/White
A694821,Rocko,1/7/15 7:26,Return_to_owner,NA,Dog,Neutered Male,2 years,Rottweiler Mix,Black/Tan
A674770,Robert,3/18/14 19:00,Return_to_owner,NA,Dog,Intact Male,7 years,American Bulldog Mix,White/Tan
A671868,Oso,2/3/14 18:14,Return_to_owner,NA,Dog,Neutered Male,2 years,Golden Retriever,Yellow
A711711,NA,9/11/15 12:41,Transfer,Partner,Cat,Intact Male,2 days,Domestic Shorthair Mix,Brown Tabby
A670620,Willie,2/2/14 14:52,Adoption,NA,Cat,Neutered Male,9 years,Domestic Shorthair Mix,Orange Tabby
A667103,Pokey,11/14/13 13:02,Transfer,Partner,Dog,Spayed Female,9 years,Beagle Mix,Tricolor
A678821,NA,5/13/14 13:20,Transfer,Partner,Cat,Unknown,0 years,Domestic Shorthair Mix,Black
A709258,Bull,12/4/15 12:42,Adoption,Foster,Cat,Neutered Male,6 months,Domestic Shorthair Mix,Black/White
A667298,Sadie,11/30/13 15:46,Adoption,NA,Dog,Spayed Female,2 years,Dachshund/Chihuahua Shorthair,Red
A719857,Mamas,2/1/16 18:09,Return_to_owner,NA,Dog,Intact Female,1 year,Pit Bull Mix,White/Black
A679368,NA,5/20/14 11:15,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Orange Tabby
A713420,NA,10/7/15 8:32,Transfer,Partner,Dog,Intact Female,2 months,Australian Cattle Dog Mix,Brown/White
A680657,NA,6/6/14 19:30,Transfer,SCRP,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Orange Tabby
A711356,J.D.,9/11/15 13:50,Transfer,Partner,Dog,Neutered Male,6 years,Labrador Retriever Mix,Chocolate
A657489,Floyd,1/24/15 12:55,Return_to_owner,NA,Dog,Intact Male,4 years,Pit Bull Mix,White/Black
A671059,NA,1/17/14 17:50,Euthanasia,Suffering,Cat,Intact Female,5 weeks,Domestic Medium Hair Mix,Brown Tabby
A716101,Mickey,11/21/15 17:23,Adoption,NA,Dog,Neutered Male,1 year,Yorkshire Terrier/Chihuahua Longhair,White/Tan
A696779,Penelope,2/19/15 14:58,Transfer,Partner,Dog,Spayed Female,1 year,Australian Cattle Dog/Catahoula,Blue Merle
A707195,Beans,7/14/15 12:31,Adoption,NA,Dog,Neutered Male,5 years,Chihuahua Shorthair Mix,White/Brown
